Week Ending,Tests,Positive Cases,Positivity Rate,Change in Positivity Rate
"Dec 4, 2020",257,0,0,0
"Nov 27, 2020",238,0,0,-0.0027548209366391185
"Nov 20, 2020",363,1,0.0027548209366391185,0.0027548209366391185
"Nov 13, 2020",380,0,0,0
"Nov 6, 2020",377,0,0,-0.002688172043010753
"Oct 30, 2020",372,1,0.002688172043010753,0.002688172043010753
"Oct 23, 2020",368,0,0,0
"Oct 16, 2020",339,0,0,0
"Oct 9, 2020",363,0,0,-0.002617801047120419
"Oct 2, 2020",382,1,0.002617801047120419,0.002617801047120419
"Sep 25, 2020",319,0,0,0
"Sep 18, 2020",350,0,0,0
"Sep 11, 2020",235,0,0,0
"Sep 6, 2020",267,0,0,0
"Aug 30, 2020",209,0,0,0
